timestamp,open,high,low,close,adjusted close,volume,dividend amount,ticker
2024-09-24,23.4722,24.52,22.5472,24.5004,24.5004,9359,0.0,AZTD
2024-08-30,21.5158,23.4722,20.1185,23.4722,23.4722,38139,0.0,AZTD
2024-07-31,21.45,22.6064,21.01,22.1417,22.1417,116311,0.0,AZTD
2024-06-28,21.94,22.14,21.2047,21.52,21.52,47410,0.0,AZTD
2024-05-31,20.909,22.0531,20.88,22.0531,22.0531,131033,0.0,AZTD
2024-04-30,21.48,21.48,20.12,20.9752,20.9752,671225,0.0,AZTD
2024-03-28,21.75,21.88,21.4099,21.6034,21.6034,147665,0.0,AZTD
2024-02-29,21.6973,21.8,21.02,21.7732,21.7732,158801,0.0,AZTD
2024-01-31,21.7192,22.02,21.2448,21.6944,21.6944,59825,0.0,AZTD
2023-12-29,20.74,22.0654,20.74,21.81,21.81,82297,0.027,AZTD
2023-11-30,19.095,20.88,19.095,20.7299,20.7044,39507,0.0,AZTD
2023-10-31,19.4553,19.83,18.62,19.068,19.0446,95625,0.0,AZTD
2023-09-29,21.345,21.345,19.69,19.7652,19.7409,58876,0.0,AZTD
2023-08-31,21.95,21.95,20.3256,21.1421,21.1161,28227,0.0,AZTD
2023-07-31,21.1252,22.26,20.22,22.14,22.1128,133238,0.0,AZTD
2023-06-30,19.8,21.44,19.8,21.07,21.0441,132694,0.0,AZTD
2023-05-31,20.25,20.4,19.38,19.69,19.6658,95442,0.0,AZTD
2023-04-28,20.5808,20.62,20.0178,20.4383,20.4132,68280,0.0,AZTD
2023-03-31,20.5057,20.72,19.22,20.605,20.5797,478169,0.0,AZTD
2023-02-28,21.2806,21.5403,20.2745,20.4483,20.4232,601161,0.0,AZTD
2023-01-31,19.57,21.3204,19.15,21.3204,21.2942,750868,0.0,AZTD
2022-12-30,20.7,21.72,19.3928,19.79,19.7657,1039081,0.0,AZTD
2022-11-30,19.542,20.9766,19.0198,20.9766,20.9508,57809,0.0,AZTD
2022-10-31,18.12,19.37,17.9457,19.37,19.3462,22369,0.0,AZTD
2022-09-30,19.43,20.11,17.6878,18.1001,18.0779,102941,0.0,AZTD
